Netlist file: iir1.map4.latren.net   Architecture file: k4-n10.xml
Array size: 10 x 10 logic blocks

#block name	x	y	subblk	block number
#----------	--	--	------	------------
iir1_adr_i_0	0	10	2	#0
iir1_adr_i_1	0	4	1	#1
iir1_adr_i_2	2	11	1	#2
iir1_clk_i_0	10	0	0	#3
iir1_dat_i_0	0	6	1	#4
iir1_dat_i_1	5	11	0	#5
iir1_dat_i_2	0	8	2	#6
iir1_dat_i_3	0	9	1	#7
iir1_dat_i_4	3	11	2	#8
iir1_dat_i_5	7	11	0	#9
iir1_dat_i_6	7	11	1	#10
iir1_dat_i_7	1	11	0	#11
iir1_dat_i_8	4	11	2	#12
iir1_dat_i_9	0	5	0	#13
iir1_dat_i_10	0	7	0	#14
iir1_dat_i_11	5	11	2	#15
iir1_dat_i_12	0	9	2	#16
iir1_dat_i_13	5	11	1	#17
iir1_dat_i_14	0	8	1	#18
iir1_dat_i_15	5	0	1	#19
iir1_nreset_0	2	11	2	#20
iir1_rst_i_0	2	0	2	#21
iir1_stb_i_0	0	10	1	#22
iir1_valid_0	11	3	1	#23
iir1_we_i_0	0	10	0	#24
iir1_x_0	8	0	2	#25
iir1_x_1	8	0	1	#26
iir1_x_2	7	0	1	#27
iir1_x_3	11	5	1	#28
iir1_x_4	0	2	1	#29
iir1_x_5	6	0	2	#30
iir1_x_6	6	0	0	#31
iir1_x_7	8	0	0	#32
out:iir1_ack_o_0	1	0	1	#33
out:iir1_dat_o_0	0	6	0	#34
out:iir1_dat_o_1	4	11	0	#35
out:iir1_dat_o_2	0	8	0	#36
out:iir1_dat_o_3	0	9	0	#37
out:iir1_dat_o_4	3	11	0	#38
out:iir1_dat_o_5	3	11	1	#39
out:iir1_dat_o_6	4	11	1	#40
out:iir1_dat_o_7	1	11	2	#41
out:iir1_dat_o_8	0	6	2	#42
out:iir1_dat_o_9	0	5	2	#43
out:iir1_dat_o_10	0	7	1	#44
out:iir1_dat_o_11	0	7	2	#45
out:iir1_dat_o_12	4	0	0	#46
out:iir1_dat_o_13	0	5	1	#47
out:iir1_dat_o_14	2	11	0	#48
out:iir1_dat_o_15	11	7	0	#49
out:iir1_y_0	0	1	1	#50
out:iir1_y_1	11	10	1	#51
out:iir1_y_2	7	11	2	#52
out:iir1_y_3	6	11	1	#53
out:iir1_y_4	6	11	0	#54
out:iir1_y_5	6	11	2	#55
out:iir1_y_6	11	8	0	#56
out:iir1_y_7	11	8	1	#57
out:dummy_mult_0	0	1	2	#58
out:dummy_mult_1	1	0	2	#59
out:dummy_mult_2	0	1	0	#60
out:dummy_mult_3	1	0	0	#61
out:dummy_mult_4	0	2	2	#62
hetero_REGISTER_38_960_out	4	3	0	#63
hetero_REGISTER_38_974_out	8	3	0	#64
n1363		9	2	0	#65
n1444		3	2	0	#66
n1087		8	7	0	#67
n1203		9	5	0	#68
n1359		9	3	0	#69
n1275_1		10	1	0	#70
hetero_REGISTER_38_980_out	4	2	0	#71
n1181		8	9	0	#72
n1251		10	6	0	#73
n1153		9	9	0	#74
n1213		8	5	0	#75
n1107		8	6	0	#76
hetero_REGISTER_38_1013_out	10	2	0	#77
hetero_REGISTER_38_1011_out	10	3	0	#78
n1137		9	10	0	#79
n1237		10	7	0	#80
n1280_1		9	1	0	#81
n1407		3	1	0	#82
hetero_REGISTER_38_1028_out	8	10	0	#83
n1402		6	1	0	#84
hetero_REGISTER_38_1001_out	4	1	0	#85
n1380		3	3	0	#86
n1055_1		9	6	0	#87
n1151		10	9	0	#88
n1071		6	8	0	#89
hetero_REGISTER_38_1029_out	10	10	0	#90
n1060_1		9	8	0	#91
hetero_REGISTER_38_1033_out	10	4	0	#92
n1069_1		6	9	0	#93
n1095_1		10	8	0	#94
n1108		8	4	0	#95
hetero_H_SKEL_U_12_94_839_out	8	8	0	#96
n1196		10	5	0	#97
n1214_1		6	3	0	#98
n1086		9	7	0	#99
iir1_dat_o_15	6	7	0	#100
n1045_1		4	8	0	#101
n927		1	7	0	#102
n932		3	7	0	#103
iir1_dat_o_1	4	10	0	#104
iir1_dat_o_5	3	9	0	#105
iir1_dat_o_6	4	9	0	#106
iir1_dat_o_13	3	5	0	#107
iir1_dat_o_8	3	6	0	#108
iir1_dat_o_9	1	5	0	#109
iir1_dat_o_7	1	10	0	#110
iir1_dat_o_2	1	8	0	#111
iir1_dat_o_0	1	6	0	#112
iir1_dat_o_3	1	9	0	#113
iir1_dat_o_14	3	8	0	#114
iir1_dat_o_4	3	10	0	#115
iir1_dat_o_12	4	5	0	#116
n1324		1	3	0	#117
n1035_1		4	7	0	#118
n1202		9	4	0	#119
n1007		1	4	0	#120
n1413		3	4	0	#121
n1337		8	2	0	#122
n1023		4	6	0	#123
n1437		1	2	0	#124
n1100_1		8	1	0	#125
n1198		6	6	0	#126
hetero_H_SKEL_U_8_79_1678_out	4	4	0	#127
n1262		6	2	0	#128
n1238		6	4	0	#129
n1208		6	5	0	#130
hetero_H_SKEL_U_8_75_1430_out	6	10	0	#131
iir1_ack_o_0	1	1	0	#132
mult_36_0	2	4	0	#133
mult_36_1	5	4	0	#134
mult_36_2	7	4	0	#135
mult_36_3	5	7	0	#136
mult_36_4	7	7	0	#137
